N-gram,Count,Book
Father who is in the heavens,12,40
But I say unto you that,8,40
kingdom of the heavens is like,7,40
my Father who is in the,7,40
the chief priests and the elders,7,40
the kingdom of the heavens is,7,40
be fulfilled which was spoken through,6,40
be the weeping and the gnashing,6,40
in the kingdom of the heavens,6,40
of the heavens is like a,6,40
scribes and Pharisees hypocrites for ye,6,40
shall be the weeping and the,6,40
the weeping and the gnashing of,6,40
there shall be the weeping and,6,40
weeping and the gnashing of teeth,6,40
you scribes and Pharisees hypocrites for,6,40
And Jesus answering said to them,5,40
And it came to pass when,5,40
Woe to you scribes and Pharisees,5,40
came to pass when Jesus had,5,40
it came to pass when Jesus,5,40
might be fulfilled which was spoken,5,40
that might be fulfilled which was,5,40
that that might be fulfilled which,5,40
to pass when Jesus had finished,5,40
to you scribes and Pharisees hypocrites,5,40
your Father who is in the,5,40
