N-gram,Count,Book
Verily verily I say,25,43
verily I say unto,25,43
answered and said unto,24,43
I say unto you,23,43
and said unto him,22,43
Jesus answered and said,14,43
him that sent me,12,43
Jesus saith unto her,10,43
They said therefore unto,10,43
said therefore unto him,10,43
Jesus saith unto him,9,43
saith unto him Lord,9,43
the Son of God,9,43
the Son of man,9,43
thou hast given me,9,43
and said unto them,8,43
he said unto them,8,43
Jesus saith unto them,7,43
Jesus therefore said unto,7,43
and saith unto them,7,43
therefore said unto him,7,43
And when he had,6,43
He saith unto him,6,43
I spoken unto you,6,43
down out of heaven,6,43
have I spoken unto,6,43
in me and I,6,43
little while and ye,6,43
me and I in,6,43
of him that sent,6,43
the Father that sent,6,43
therefore said unto them,6,43
things have I spoken,6,43
thou didst send me,6,43
Father that sent me,5,43
I say unto thee,5,43
Jesus said unto them,5,43
King of the Jews,5,43
The Jews therefore said,5,43
These things have I,5,43
and saith unto him,5,43
not of the world,5,43
saith unto him Sir,5,43
that believeth on me,5,43
that thou didst send,5,43
the chief priests and,5,43
them Verily verily I,5,43
unto him Art thou,5,43
unto you that ye,5,43
which thou hast given,5,43
