N-gram,Count,Book
my,78,22
is,68,22
I,55,22
you,47,22
are,43,22
like,40,22
me,37,22
your,33,22
beloved,32,22
Your,28,22
love,26,22
My,19,22
him,19,22
His,17,22
have,16,22
his,16,22
up,15,22
Beloved,14,22
beautiful,14,22
for,14,22
among,13,22
who,13,22
from,12,22
has,12,22
her,11,22
one,11,22
will,11,22
would,10,22
For,9,22
am,9,22
away,9,22
daughters,9,22
its,9,22
Behold,8,22
He,8,22
Jerusalem,8,22
Let,8,22
Lover,8,22
at,8,22
breasts,8,22
come,8,22
it,8,22
Friends,7,22
Lebanon,7,22
You,7,22
all,7,22
eyes,7,22
go,7,22
heart,7,22
myrrh,7,22
our,7,22
sister,7,22
spices,7,22
tree,7,22
wine,7,22
How,6,22
If,6,22
They,6,22
Until,6,22
bride,6,22
forth,6,22
head,6,22
lilies,6,22
than,6,22
them,6,22
voice,6,22
was,6,22
From,5,22
There,5,22
Where,5,22
Who,5,22
adjure,5,22
day,5,22
flock,5,22
found,5,22
fragrance,5,22
fruit,5,22
garden,5,22
gold,5,22
hair,5,22
hand,5,22
he,5,22
loves,5,22
or,5,22
see,5,22
she,5,22
soul,5,22
us,5,22
vineyards,5,22
whom,5,22
