52004012,52,4,12,"That ye may walk honestly towards them that are without, and that ye may have need of nothing."
52004013,52,4,13,"But I would not have you to be ignorant, brethren, concerning them who are asleep, that ye sorrow not, even as others who have no hope."
52004014,52,4,14,"For if we believe that Jesus died and rose again, even so them also who sleep in Jesus will God bring with him."
52004015,52,4,15,"For this we say to you by the word of the Lord, that we who are alive and remain to the coming of the Lord shall not precede them who are asleep."
52004016,52,4,16,"For the Lord himself will descend from heaven with a shout, with the voice of an archangel, and with the trumpet of God: and the dead in Christ shall rise first:"
52004017,52,4,17,"Then we who are alive and remain shall be caught up together with them in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord."
52004018,52,4,18,"Wherefore, comfort one another with these words."
52005001,52,5,1,"But of the times and the seasons, brethren, ye have no need that I write to you."
52005002,52,5,2,For yourselves know perfectly that the day of the Lord so cometh as a thief in the night.
52005003,52,5,3,"For when they shall say, Peace and safety; then sudden destruction cometh upon them, as travail upon a woman with child; and they shall not escape."
52005004,52,5,4,"But ye, brethren, are not in darkness, that that day should overtake you as a thief."
52005005,52,5,5,"Ye are all children of light, and children of the day: we are not of the night, nor of darkness."
52005006,52,5,6,"Therefore let us not sleep, as do others; but let us watch and be sober."
52005007,52,5,7,"For they that sleep, sleep in the night; and they that are drunken, are drunken in the night."
52005008,52,5,8,"But let us, who are of the day, be sober, putting on the breast-plate of faith and love; and for a helmet, the hope of salvation."
52005009,52,5,9,"For God hath not appointed us to wrath, but to obtain salvation by our Lord Jesus Christ,"
52005010,52,5,10,"Who died for us, that, whether we wake or sleep, we should live together with him."
52005011,52,5,11,"Wherefore, comfort yourselves together, and edify one another, even as also ye do."
52005012,52,5,12,"And we beseech you, brethren, to know them who labor among you, and are over you in the Lord, and admonish you;"
52005013,52,5,13,And to esteem them very highly in love for their work's sake. And be at peace among yourselves.
52005014,52,5,14,"Now we exhort you, brethren, warn them that are disorderly, comfort the feeble-minded, support the weak, be patient towards all men."
52005015,52,5,15,"See that none render evil for evil to any man; but ever follow that which is good, both among yourselves, and to all men."
52005016,52,5,16,Rejoice evermore.
52005017,52,5,17,Pray without ceasing.
52005018,52,5,18,In every thing give thanks: for this is the will of God in Christ Jesus concerning you.
52005019,52,5,19,Quench not the spirit.
52005020,52,5,20,Despise not prophesyings.
52005021,52,5,21,Prove all things; hold fast that which is good.
52005022,52,5,22,Abstain from all appearance of evil.
52005023,52,5,23,And the very God of peace sanctify you wholly; and I pray God your whole spirit and soul and body may be preserved blameless to the coming of our Lord Jesus Christ.
52005024,52,5,24,"Faithful is he that calleth you, who also will do it."
52005025,52,5,25,"Brethren, pray for us."
52005026,52,5,26,Greet all the brethren with a holy kiss.
52005027,52,5,27,I charge you by the Lord that this epistle be read to all the holy brethren.
52005028,52,5,28,The grace of our Lord Jesus Christ be with you. Amen.
