N-gram,Count,Book
dwell,6,14
end,6,14
fell,6,14
fire,6,14
graven,6,14
hallow,6,14
head,6,14
helped,6,14
horses,6,14
hundreds,6,14
judgment,6,14
kept,6,14
mine,6,14
near,6,14
new,6,14
open,6,14
ordinance,6,14
overlaid,6,14
peace,6,14
peoples,6,14
prosper,6,14
rejoiced,6,14
ships,6,14
sixteen,6,14
skilful,6,14
smitten,6,14
spirit,6,14
spoken,6,14
supplication,6,14
taken,6,14
timber,6,14
towers,6,14
twentyfive,6,14
villages,6,14
voice,6,14
walk,6,14
while,6,14
wife,6,14
wilderness,6,14
wing,6,14
worshipped,6,14
All,5,14
Baals,5,14
Elohim,5,14
Hear,5,14
It,5,14
Sennacherib,5,14
Shishak,5,14
There,5,14
am,5,14
another,5,14
became,5,14
blessed,5,14
bore,5,14
both,5,14
bowed,5,14
bowels,5,14
brother,5,14
captive,5,14
caused,5,14
certain,5,14
chains,5,14
charges,5,14
chariot,5,14
commandments,5,14
consecrated,5,14
conspired,5,14
country,5,14
couriers,5,14
cried,5,14
dedicated,5,14
eight,5,14
fall,5,14
far,5,14
filled,5,14
fled,5,14
forsook,5,14
gates,5,14
gifts,5,14
inquire,5,14
judge,5,14
kingdoms,5,14
knowledge,5,14
lands,5,14
looked,5,14
lovingkindness,5,14
most,5,14
night,5,14
oath,5,14
offer,5,14
oil,5,14
order,5,14
part,5,14
peaceofferings,5,14
perfect,5,14
porch,5,14
power,5,14
presence,5,14
pure,5,14
queen,5,14
rams,5,14
sacrifice,5,14
same,5,14
scribe,5,14
sepulchres,5,14
sinned,5,14
spices,5,14
sprinkled,5,14
statutes,5,14
substance,5,14
take,5,14
thing,5,14
trespass,5,14
tribes,5,14
upper,5,14
wilt,5,14
wine,5,14
writing,5,14
wrought,5,14
