N-gram,Count,Book
he,634,42
you,497,42
him,436,42
said,387,42
for,344,42
will,341,42
is,299,42
was,292,42
they,291,42
his,264,42
not,258,42
them,255,42
who,252,42
it,250,42
have,230,42
I,222,42
were,196,42
when,192,42
your,183,42
had,182,42
came,180,42
all,168,42
from,166,42
are,165,42
come,157,42
man,154,42
put,149,42
give,142,42
has,132,42
which,128,42
went,126,42
say,125,42
God,124,42
made,124,42
this,108,42
up,108,42
me,106,42
son,103,42
their,102,42
those,100,42
do,99,42
no,98,42
things,97,42
gave,95,42
people,93,42
Jesus,92,42
one,92,42
go,91,42
my,89,42
away,84,42
Lord,81,42
at,81,42
these,81,42
so,78,42
her,77,42
house,75,42
make,74,42
men,73,42
there,72,42
let,71,42
see,70,42
take,69,42
back,68,42
great,67,42
if,65,42
saying,61,42
given,60,42
words,60,42
For,59,42
may,57,42
took,56,42
against,55,42
been,55,42
or,55,42
saw,54,42
because,52,42
food,52,42
get,52,42
time,50,42
good,49,42
place,49,42
down,48,42
before,47,42
evil,47,42
kingdom,46,42
us,45,42
day,44,42
death,44,42
full,44,42
sent,44,42
town,43,42
certain,42,42
knowledge,42,42
she,42,42
way,42,42
Son,41,42
done,41,42
servant,40,42
got,39,42
would,39,42
fear,38,42
well,38,42
Now,37,42
disciples,36,42
right,36,42
am,35,42
heaven,34,42
near,34,42
himself,33,42
John,32,42
able,32,42
another,32,42
number,32,42
Jerusalem,31,42
among,31,42
comes,31,42
days,31,42
even,31,42
name,31,42
while,31,42
other,30,42
then,30,42
dead,29,42
father,29,42
gives,29,42
life,28,42
answer,27,42
end,27,42
eyes,27,42
now,27,42
power,27,42
taken,27,42
than,27,42
through,27,42
two,27,42
did,26,42
going,26,42
You,25,42
earth,25,42
more,25,42
mother,25,42
some,25,42
spirits,25,42
teaching,25,42
where,25,42
first,24,42
hands,24,42
having,24,42
looking,24,42
only,24,42
together,24,42
wealth,24,42
word,24,42
clear,23,42
coming,23,42
keep,23,42
like,23,42
named,23,42
nothing,23,42
whom,23,42
whose,23,42
