N-gram,Count,Book
the LORD of hosts,48,23
it shall come to,26,23
the Holy One of,26,23
Holy One of Israel,25,23
shall come to pass,25,23
And it shall come,22,23
the king of Assyria,21,23
Thus saith the LORD,19,23
of the LORD and,17,23
in the midst of,16,23
come to pass in,13,23
of the LORD of,13,23
in that day that,12,23
I am the LORD,11,23
and it shall be,11,23
in the land of,11,23
of the LORD shall,11,23
pass in that day,11,23
the hand of the,11,23
to pass in that,11,23
In that day shall,10,23
of the earth and,10,23
saith the Lord GOD,10,23
the LORD hath spoken,10,23
the midst of the,10,23
and there is none,9,23
come to pass that,9,23
for the LORD hath,9,23
the LORD thy God,9,23
the word of the,9,23
And in that day,8,23
LORD of hosts shall,8,23
Lord GOD of hosts,8,23
Woe unto them that,8,23
and they shall be,8,23
name of the LORD,8,23
saith the LORD that,8,23
the LORD shall be,8,23
the Lord GOD of,8,23
the house of the,8,23
the name of the,8,23
thus saith the LORD,8,23
word of the LORD,8,23
For thus saith the,7,23
and ye shall be,7,23
ends of the earth,7,23
in the day of,7,23
of the king of,7,23
the God of Israel,7,23
the ends of the,7,23
the son of Amoz,7,23
LORD of hosts is,6,23
fear of the LORD,6,23
hand is stretched out,6,23
hand of the LORD,6,23
his hand is stretched,6,23
of the house of,6,23
shall be as the,6,23
that day that the,6,23
the day of the,6,23
the end of the,6,23
the glory of his,6,23
the glory of the,6,23
the house of Jacob,6,23
the inhabitants of the,6,23
there is none else,6,23
they shall be as,6,23
And it shall be,5,23
And the LORD shall,5,23
For all this his,5,23
Isaiah the son of,5,23
LORD hath spoken it,5,23
LORD said unto me,5,23
Therefore thus saith the,5,23
all this his anger,5,23
and I will make,5,23
anger is not turned,5,23
away but his hand,5,23
but his hand is,5,23
day that the LORD,5,23
every one that is,5,23
his anger is not,5,23
house of the LORD,5,23
is not turned away,5,23
is stretched out still,5,23
it came to pass,5,23
king of Assyria and,5,23
not turned away but,5,23
of the LORD is,5,23
saith the LORD of,5,23
saith the LORD the,5,23
the LORD and my,5,23
the LORD and the,5,23
the LORD said unto,5,23
the Lord GOD will,5,23
the daughter of Zion,5,23
the face of the,5,23
the land of Egypt,5,23
the land of the,5,23
the mouth of the,5,23
there is no God,5,23
there is none that,5,23
they shall not be,5,23
this his anger is,5,23
thou shalt be called,5,23
thou shalt not be,5,23
thus saith the Lord,5,23
to him that is,5,23
turned away but his,5,23
