N-gram,Count,Book
Jehovah,383,14
he,373,14
his,343,14
they,281,14
for,275,14
all,259,14
him,247,14
was,238,14
king,231,14
them,215,14
house,207,14
Israel,187,14
God,184,14
Judah,161,14
their,139,14
not,135,14
had,131,14
Jerusalem,127,14
were,124,14
which,122,14
made,111,14
thy,110,14
it,108,14
people,107,14
son,104,14
came,89,14
from,89,14
thou,89,14
when,88,14
I,85,14
said,85,14
Solomon,83,14
against,83,14
before,83,14
have,79,14
is,78,14
upon,78,14
there,77,14
this,76,14
David,73,14
priests,71,14
thee,71,14
did,70,14
fathers,70,14
shall,69,14
brought,68,14
up,68,14
at,66,14
my,64,14
Levites,62,14
ye,60,14
also,59,14
kings,59,14
hundred,58,14
thousand,58,14
hand,57,14
children,56,14
father,54,14
men,53,14
years,53,14
land,52,14
So,51,14
Now,50,14
went,50,14
saying,48,14
gold,47,14
are,46,14
cities,45,14
me,44,14
name,44,14
took,44,14
even,43,14
sons,43,14
will,43,14
Then,42,14
according,42,14
great,42,14
set,42,14
you,42,14
Jehoshaphat,41,14
so,41,14
Hezekiah,40,14
every,40,14
away,39,14
city,39,14
man,39,14
reigned,39,14
because,37,14
built,37,14
day,37,14
come,36,14
heart,36,14
place,35,14
twenty,35,14
your,35,14
hast,34,14
reign,34,14
two,33,14
down,32,14
over,32,14
themselves,32,14
began,31,14
put,31,14
three,31,14
who,31,14
behold,30,14
one,30,14
Asa,29,14
gave,29,14
go,29,14
hath,29,14
old,29,14
our,29,14
sent,29,14
servants,29,14
Rehoboam,28,14
five,28,14
himself,28,14
thereof,28,14
For,27,14
year,27,14
assembly,26,14
altar,25,14
cubits,25,14
days,25,14
heaven,25,14
no,25,14
stood,25,14
written,25,14
vessels,24,14
captains,23,14
book,22,14
high,22,14
kingdom,22,14
let,22,14
princes,22,14
seven,22,14
us,22,14
Thus,21,14
brethren,21,14
do,21,14
found,21,14
gathered,21,14
give,21,14
inhabitants,21,14
or,21,14
silver,21,14
spake,21,14
therefore,21,14
Jehoiada,20,14
O,20,14
burntofferings,20,14
forth,20,14
left,20,14
pass,20,14
right,20,14
she,20,14
Amaziah,19,14
Egypt,19,14
Jeroboam,19,14
Manasseh,19,14
again,19,14
build,19,14
commanded,19,14
eyes,19,14
good,19,14
her,19,14
if,19,14
much,19,14
priest,19,14
toward,19,14
He,18,14
abundance,18,14
evil,18,14
first,18,14
gods,18,14
incense,18,14
make,18,14
may,18,14
own,18,14
work,18,14
Josiah,17,14
Moreover,17,14
buried,17,14
carried,17,14
holy,17,14
law,17,14
places,17,14
stead,17,14
ten,17,14
these,17,14
words,17,14
Ephraim,16,14
acts,16,14
among,16,14
bring,16,14
covenant,16,14
delivered,16,14
mighty,16,14
neither,16,14
now,16,14
other,16,14
prophet,16,14
rest,16,14
slew,16,14
war,16,14
Abijah,15,14
altars,15,14
battle,15,14
cast,15,14
gate,15,14
hear,15,14
heard,15,14
keep,15,14
passover,15,14
seek,15,14
service,15,14
should,15,14
six,15,14
smote,15,14
sought,15,14
then,15,14
under,15,14
word,15,14
Ahab,14,14
Benjamin,14,14
Joash,14,14
any,14,14
ark,14,14
chosen,14,14
commandment,14,14
counsel,14,14
daughter,14,14
done,14,14
ever,14,14
given,14,14
like,14,14
might,14,14
month,14,14
prepared,14,14
saith,14,14
servant,14,14
shalt,14,14
things,14,14
time,14,14
until,14,14
ways,14,14
Ahaziah,13,14
Assyria,13,14
Azariah,13,14
Jehoram,13,14
Uzziah,13,14
brake,13,14
chariots,13,14
fortified,13,14
kept,13,14
nor,13,14
oxen,13,14
returned,13,14
together,13,14
turn,13,14
walked,13,14
wall,13,14
whom,13,14
wrath,13,14
yet,13,14
Micaiah,12,14
Moses,12,14
army,12,14
burn,12,14
concerning,12,14
dwelt,12,14
end,12,14
host,12,14
houses,12,14
humbled,12,14
more,12,14
prayer,12,14
same,12,14
sight,12,14
stones,12,14
throughout,12,14
very,12,14
Huram,11,14
between,11,14
could,11,14
courses,11,14
deliver,11,14
earth,11,14
hands,11,14
round,11,14
sanctified,11,14
saw,11,14
slept,11,14
trumpets,11,14
turned,11,14
Syria,10,14
appointed,10,14
burntoffering,10,14
death,10,14
destroyed,10,14
feast,10,14
fight,10,14
forsaken,10,14
help,10,14
know,10,14
manner,10,14
many,10,14
multitude,10,14
pray,10,14
prophets,10,14
return,10,14
sheep,10,14
side,10,14
spoil,10,14
strengthened,10,14
strong,10,14
thine,10,14
throne,10,14
way,10,14
wives,10,14
wrought,10,14
Ahaz,9,14
Also,9,14
Babylon,9,14
Lebanon,9,14
Zechariah,9,14
able,9,14
back,9,14
blood,9,14
carry,9,14
died,9,14
face,9,14
images,9,14
killed,9,14
mothers,9,14
mouth,9,14
nations,9,14
offered,9,14
pillars,9,14
sea,9,14
second,9,14
send,9,14
shields,9,14
such,9,14
taken,9,14
temple,9,14
third,9,14
threescore,9,14
trespassed,9,14
valley,9,14
valor,9,14
wisdom,9,14
without,9,14
Asherim,8,14
Athaliah,8,14
Because,8,14
Hilkiah,8,14
If,8,14
Ramothgilead,8,14
Samaria,8,14
Shaphan,8,14
Shemaiah,8,14
anger,8,14
answered,8,14
brass,8,14
chariot,8,14
cherubim,8,14
chief,8,14
court,8,14
cut,8,14
doors,8,14
fear,8,14
hearkened,8,14
laid,8,14
lands,8,14
last,8,14
long,8,14
overlaid,8,14
precious,8,14
see,8,14
seer,8,14
sin,8,14
skilful,8,14
slain,8,14
small,8,14
sword,8,14
talents,8,14
than,8,14
thirty,8,14
young,8,14
Aaron,7,14
Ammon,7,14
Behold,7,14
Philistines,7,14
am,7,14
bare,7,14
burnt,7,14
called,7,14
daughters,7,14
dedicated,7,14
destroy,7,14
dwell,7,14
eight,7,14
fell,7,14
fifty,7,14
four,7,14
fourscore,7,14
heads,7,14
helped,7,14
honor,7,14
horsemen,7,14
instruments,7,14
money,7,14
none,7,14
number,7,14
present,7,14
riches,7,14
say,7,14
serve,7,14
spread,7,14
stand,7,14
tent,7,14
those,7,14
treasures,7,14
twelve,7,14
wilderness,7,14
would,7,14
yoke,7,14
Amon,6,14
Asaph,6,14
Ethiopians,6,14
Jehu,6,14
Jotham,6,14
Seir,6,14
There,6,14
Ye,6,14
abominations,6,14
above,6,14
arose,6,14
assembled,6,14
besides,6,14
broken,6,14
bullocks,6,14
captive,6,14
captives,6,14
departed,6,14
didst,6,14
entrance,6,14
established,6,14
exceeding,6,14
finished,6,14
fire,6,14
forgive,6,14
graven,6,14
how,6,14
hundreds,6,14
looked,6,14
lovingkindness,6,14
mine,6,14
minister,6,14
mount,6,14
new,6,14
offer,6,14
only,6,14
ordinance,6,14
peace,6,14
peoples,6,14
pieces,6,14
praise,6,14
prosper,6,14
pure,6,14
rejoiced,6,14
ruler,6,14
sacrificed,6,14
sanctify,6,14
sanctuary,6,14
save,6,14
sepulchres,6,14
ships,6,14
singers,6,14
smitten,6,14
speak,6,14
spices,6,14
spirit,6,14
supplication,6,14
thing,6,14
through,6,14
thyself,6,14
timber,6,14
towers,6,14
towns,6,14
walk,6,14
wife,6,14
wing,6,14
worshipped,6,14
yourselves,6,14
Baalim,5,14
Edom,5,14
Go,5,14
Hear,5,14
Howbeit,5,14
Jehoahaz,5,14
Nevertheless,5,14
Sennacherib,5,14
Shishak,5,14
Syrians,5,14
Why,5,14
art,5,14
blessed,5,14
bowed,5,14
bowels,5,14
bread,5,14
breadth,5,14
brook,5,14
brother,5,14
cometh,5,14
commandments,5,14
conspired,5,14
cried,5,14
dwellingplace,5,14
each,5,14
enemies,5,14
entered,5,14
fierce,5,14
filled,5,14
fine,5,14
fled,5,14
forsook,5,14
hewed,5,14
horses,5,14
inquire,5,14
judge,5,14
judgment,5,14
kingdoms,5,14
most,5,14
mountains,5,14
night,5,14
officers,5,14
offices,5,14
oil,5,14
peaceofferings,5,14
perfect,5,14
porch,5,14
portion,5,14
power,5,14
queen,5,14
quiet,5,14
rams,5,14
received,5,14
sacrifice,5,14
sacrifices,5,14
scribe,5,14
seen,5,14
singing,5,14
sixteen,5,14
some,5,14
spoken,5,14
sprinkled,5,14
statutes,5,14
substance,5,14
told,5,14
top,5,14
trespass,5,14
tribes,5,14
upper,5,14
voice,5,14
wherewith,5,14
wilt,5,14
wine,5,14
writing,5,14
