N-gram,Count,Book
he,417,41
him,384,41
they,295,41
them,232,41
his,145,41
is,144,41
it,138,41
not,137,41
shall,133,41
said,121,41
was,114,41
ye,107,41
for,101,41
I,95,41
when,92,41
Jesus,83,41
man,81,41
had,77,41
were,77,41
all,72,41
from,67,41
saith,62,41
come,61,41
there,60,41
one,59,41
you,57,41
say,56,41
thou,53,41
up,53,41
came,51,41
God,49,41
no,49,41
things,49,41
went,48,41
have,47,41
me,47,41
disciples,46,41
saying,46,41
thy,43,41
are,42,41
many,40,41
straightway,40,41
thee,40,41
their,40,41
her,38,41
away,37,41
this,37,41
do,34,41
my,34,41
should,34,41
For,33,41
at,33,41
forth,33,41
hath,33,41
multitude,33,41
again,32,41
even,32,41
will,31,41
house,29,41
or,28,41
which,28,41
cast,27,41
great,27,41
these,27,41
who,27,41
asked,26,41
began,26,41
she,26,41
took,26,41
upon,26,41
saw,25,41
John,24,41
against,24,41
heard,24,41
Son,23,41
down,23,41
go,23,41
if,23,41
cometh,21,41
hand,21,41
kingdom,21,41
us,21,41
also,20,41
how,20,41
scribes,20,41
two,20,41
Peter,19,41
day,19,41
made,19,41
men,19,41
might,19,41
mother,19,41
sea,19,41
way,19,41
any,18,41
before,18,41
boat,18,41
days,18,41
enter,18,41
take,18,41
would,18,41
among,17,41
answered,17,41
because,17,41
been,17,41
chief,17,41
eat,17,41
first,17,41
hands,17,41
himself,17,41
know,17,41
let,17,41
give,16,41
having,16,41
left,16,41
over,16,41
put,16,41
see,16,41
so,16,41
themselves,16,41
whole,16,41
James,15,41
Lord,15,41
followed,15,41
good,15,41
hear,15,41
heaven,15,41
may,15,41
more,15,41
priests,15,41
sat,15,41
save,15,41
together,15,41
demons,14,41
father,14,41
sick,14,41
word,14,41
Why,13,41
another,13,41
bread,13,41
entered,13,41
gave,13,41
given,13,41
much,13,41
nothing,13,41
other,13,41
son,13,41
spake,13,41
spirit,13,41
then,13,41
twelve,13,41
your,13,41
Galilee,12,41
He,12,41
Pharisees,12,41
Teacher,12,41
Thou,12,41
brother,12,41
child,12,41
country,12,41
dead,12,41
done,12,41
little,12,41
now,12,41
pass,12,41
place,12,41
sent,12,41
side,12,41
temple,12,41
where,12,41
How,11,41
If,11,41
Jerusalem,11,41
authority,11,41
called,11,41
heart,11,41
laid,11,41
make,11,41
round,11,41
sabbath,11,41
than,11,41
unclean,11,41
without,11,41
Now,10,41
Pilate,10,41
Simon,10,41
This,10,41
Verily,10,41
am,10,41
amazed,10,41
ask,10,41
believe,10,41
cried,10,41
did,10,41
earth,10,41
fell,10,41
high,10,41
life,10,41
name,10,41
others,10,41
set,10,41
some,10,41
speak,10,41
while,10,41
whom,10,41
whosoever,10,41
wife,10,41
yet,10,41
Elijah,9,41
art,9,41
baptized,9,41
behold,9,41
can,9,41
charged,9,41
could,9,41
death,9,41
drink,9,41
going,9,41
here,9,41
hour,9,41
priest,9,41
receive,9,41
rise,9,41
send,9,41
sitting,9,41
stood,9,41
taught,9,41
tell,9,41
those,9,41
Herod,8,41
Is,8,41
Mary,8,41
Moses,8,41
Who,8,41
bring,8,41
brought,8,41
coming,8,41
head,8,41
hold,8,41
lay,8,41
loaves,8,41
looking,8,41
right,8,41
risen,8,41
sake,8,41
seed,8,41
synagogue,8,41
three,8,41
written,8,41
Behold,7,41
David,7,41
Do,7,41
It,7,41
able,7,41
brethren,7,41
cause,7,41
certain,7,41
children,7,41
delivered,7,41
ears,7,41
elders,7,41
fire,7,41
found,7,41
fruit,7,41
garments,7,41
goeth,7,41
insomuch,7,41
kill,7,41
looked,7,41
neither,7,41
parables,7,41
peace,7,41
pray,7,41
seeing,7,41
seven,7,41
sins,7,41
sown,7,41
stand,7,41
such,7,41
teaching,7,41
through,7,41
told,7,41
tomb,7,41
voice,7,41
witness,7,41
woman,7,41
Christ,6,41
Let,6,41
Satan,6,41
Spirit,6,41
There,6,41
afraid,6,41
bed,6,41
being,6,41
broken,6,41
casting,6,41
city,6,41
commanded,6,41
daughter,6,41
deliver,6,41
desert,6,41
destroy,6,41
evil,6,41
eyes,6,41
fast,6,41
forgive,6,41
gospel,6,41
ground,6,41
heed,6,41
knew,6,41
lawful,6,41
lead,6,41
leave,6,41
like,6,41
long,6,41
mountain,6,41
new,6,41
parable,6,41
people,6,41
preached,6,41
rebuked,6,41
shalt,6,41
taketh,6,41
thence,6,41
time,6,41
touched,6,41
understand,6,41
wind,6,41
All,5,41
Father,5,41
Go,5,41
Holy,5,41
Jews,5,41
King,5,41
My,5,41
Take,5,41
angels,5,41
answereth,5,41
anything,5,41
arose,5,41
astonished,5,41
ate,5,41
become,5,41
besought,5,41
blind,5,41
body,5,41
borders,5,41
brake,5,41
calleth,5,41
cannot,5,41
cloth,5,41
commandment,5,41
concerning,5,41
cup,5,41
door,5,41
faith,5,41
false,5,41
far,5,41
feared,5,41
feet,5,41
fishes,5,41
follow,5,41
gathered,5,41
generation,5,41
greatly,5,41
healed,5,41
held,5,41
husbandmen,5,41
king,5,41
manner,5,41
marvelled,5,41
meat,5,41
must,5,41
own,5,41
palsy,5,41
passed,5,41
passover,5,41
pieces,5,41
poor,5,41
possible,5,41
ran,5,41
rather,5,41
ready,5,41
received,5,41
rent,5,41
saved,5,41
servant,5,41
sinners,5,41
sought,5,41
stone,5,41
stumble,5,41
suffered,5,41
thousand,5,41
touch,5,41
tradition,5,41
under,5,41
vineyard,5,41
watch,5,41
well,5,41
wilt,5,41
wine,5,41
withered,5,41
within,5,41
work,5,41
world,5,41
