N-gram,Count,Book
they,403,44
he,383,44
him,320,44
them,314,44
was,246,44
I,214,44
when,213,44
were,190,44
all,186,44
from,170,44
had,163,44
God,162,44
for,155,44
said,148,44
his,145,44
this,139,44
it,138,44
not,130,44
is,128,44
Paul,122,44
came,107,44
there,106,44
Lord,104,44
ye,98,44
up,96,44
me,93,44
which,91,44
man,88,44
things,82,44
have,81,44
who,81,44
at,80,44
men,80,44
thou,80,44
also,78,44
their,76,44
you,75,44
thee,74,44
Jews,71,44
one,71,44
Jesus,69,44
saying,69,44
shall,67,44
these,67,44
come,66,44
us,66,44
whom,63,44
day,62,44
went,61,44
Jerusalem,59,44
Peter,55,44
Spirit,55,44
are,55,44
down,55,44
before,53,44
certain,53,44
days,53,44
made,53,44
people,53,44
heard,52,44
no,52,44
should,50,44
brought,49,44
upon,49,44
against,46,44
Holy,45,44
thy,45,44
hath,44,44
many,44,44
my,44,44
brethren,43,44
called,43,44
our,42,44
word,42,44
among,41,44
forth,41,44
therefore,41,44
Now,40,44
city,40,44
For,39,44
go,38,44
name,37,44
sent,37,44
so,37,44
together,37,44
having,36,44
chief,35,44
house,35,44
being,33,44
great,33,44
took,33,44
am,32,44
gave,32,44
set,32,44
through,32,44
will,32,44
both,31,44
found,31,44
did,30,44
hand,30,44
know,30,44
saw,30,44
Gentiles,29,44
laid,29,44
apostles,28,44
concerning,28,44
fathers,28,44
hands,28,44
now,28,44
or,28,44
received,28,44
some,28,44
spake,28,44
believed,27,44
every,27,44
your,27,44
Christ,26,44
because,26,44
hear,26,44
heaven,26,44
himself,26,44
speak,26,44
temple,26,44
disciples,25,44
stood,25,44
voice,25,44
Saul,24,44
Barnabas,23,44
John,23,44
been,23,44
fell,23,44
much,23,44
spoken,23,44
time,23,44
words,23,44
would,23,44
done,22,44
her,22,44
own,22,44
answered,21,44
baptized,21,44
commanded,21,44
do,21,44
even,21,44
good,21,44
if,21,44
more,21,44
named,21,44
Israel,20,44
Then,20,44
angel,20,44
captain,20,44
dead,20,44
heart,20,44
law,20,44
multitude,20,44
ship,20,44
Moses,19,44
any,19,44
away,19,44
behold,19,44
departed,19,44
feet,19,44
let,19,44
pass,19,44
place,19,44
saith,19,44
two,19,44
bring,18,44
church,18,44
earth,18,44
elders,18,44
entered,18,44
how,18,44
prophets,18,44
receive,18,44
Antioch,17,44
Philip,17,44
arose,17,44
might,17,44
nor,17,44
over,17,44
synagogue,17,44
themselves,17,44
way,17,44
asked,16,44
council,16,44
land,16,44
make,16,44
she,16,44
years,16,44
Caesarea,15,44
Egypt,15,44
filled,15,44
gathered,15,44
give,15,44
neither,15,44
night,15,44
nothing,15,44
put,15,44
raised,15,44
see,15,44
those,15,44
three,15,44
while,15,44
Asia,14,44
This,14,44
art,14,44
cast,14,44
faith,14,44
first,14,44
opened,14,44
priest,14,44
say,14,44
sea,14,44
Damascus,13,44
Festus,13,44
Silas,13,44
So,13,44
Ye,13,44
another,13,44
eyes,13,44
high,13,44
king,13,44
may,13,44
mouth,13,44
must,13,44
prayed,13,44
prison,13,44
prophet,13,44
sail,13,44
seen,13,44
sight,13,44
soldiers,13,44
standing,13,44
take,13,44
yet,13,44
Judaea,12,44
Simon,12,44
Thou,12,44
again,12,44
bound,12,44
hast,12,44
known,12,44
morrow,12,44
other,12,44
part,12,44
priests,12,44
sailed,12,44
same,12,44
sat,12,44
send,12,44
then,12,44
thence,12,44
witness,12,44
Agrippa,11,44
Ananias,11,44
Brethren,11,44
David,11,44
They,11,44
accord,11,44
could,11,44
death,11,44
delivered,11,44
face,11,44
grace,11,44
here,11,44
hour,11,44
kept,11,44
kill,11,44
knew,11,44
life,11,44
nation,11,44
power,11,44
resurrection,11,44
signs,11,44
spirit,11,44
tarried,11,44
than,11,44
where,11,44
whole,11,44
whose,11,44
why,11,44
yourselves,11,44
Ephesus,10,44
Joppa,10,44
Macedonia,10,44
according,10,44
appointed,10,44
began,10,44
blood,10,44
centurion,10,44
children,10,44
cried,10,44
dwelt,10,44
evil,10,44
four,10,44
fulfilled,10,44
given,10,44
judge,10,44
none,10,44
peace,10,44
right,10,44
rose,10,44
rulers,10,44
saved,10,44
son,10,44
under,10,44
vision,10,44
whereof,10,44
women,10,44
wrought,10,44
Caesar,9,44
Felix,9,44
charge,9,44
devout,9,44
far,9,44
forty,9,44
full,9,44
hold,9,44
hope,9,44
left,9,44
light,9,44
like,9,44
preached,9,44
promise,9,44
returned,9,44
seeing,9,44
speaking,9,44
taken,9,44
teaching,9,44
though,9,44
throughout,9,44
told,9,44
turn,9,44
witnesses,9,44
wonders,9,44
Abraham,8,44
Behold,8,44
Cornelius,8,44
Cyprus,8,44
Greeks,8,44
Jacob,8,44
Jew,8,44
Judas,8,44
O,8,44
amazed,8,44
appeared,8,44
became,8,44
besought,8,44
cause,8,44
common,8,44
eat,8,44
fear,8,44
food,8,44
