N-gram,Count,Book
of the house of Jehovah,24,14
the house of Jehovah and,23,14
And it came to pass,18,14
Jehovah the God of Israel,18,14
began to reign and he,18,14
he began to reign and,18,14
in the sight of Jehovah,18,14
old when he began to,18,14
to reign and he reigned,18,14
when he began to reign,18,14
years old when he began,18,14
the God of their fathers,15,14
Jehovah the God of their,13,14
his son reigned in his,12,14
in the house of Jehovah,12,14
son reigned in his stead,12,14
the priests and the Levites,11,14
And the rest of the,10,14
behold they are written in,10,14
rest of the acts of,10,14
slept with his fathers and,10,14
the rest of the acts,10,14
they are written in the,10,14
and his mothers name was,9,14
in the city of David,9,14
into the house of Jehovah,9,14
it came to pass when,9,14
of the house of God,9,14
of the kings of Israel,9,14
right in the sight of,9,14
the book of the kings,9,14
And the king of Israel,8,14
Jerusalem and his mothers name,8,14
and the inhabitants of Jerusalem,8,14
book of the kings of,8,14
evil in the sight of,8,14
in Jerusalem and his mothers,8,14
in the book of the,8,14
they buried him in the,8,14
was right in the sight,8,14
what was right in the,8,14
and they buried him in,7,14
buried him in the city,7,14
did evil in the sight,7,14
fathers and they buried him,7,14
he did evil in the,7,14
his fathers and they buried,7,14
in the house of God,7,14
the people of the land,7,14
to Jehovah the God of,7,14
with his fathers and they,7,14
written in the book of,7,14
years in Jerusalem and his,7,14
And the children of Israel,6,14
according to the commandment of,6,14
and of the sons of,6,14
are written in the book,6,14
came to pass when the,6,14
did what was right in,6,14
hear thou from the heavens,6,14
him in the city of,6,14
then hear thou from the,6,14
vessels of the house of,6,14
And he did what was,5,14
Judah and the inhabitants of,5,14
he did what was right,5,14
house of Jehovah and the,5,14
of David king of Israel,5,14
of Jehovah the God of,5,14
of the city of David,5,14
priests and the Levites and,5,14
the cities of Judah and,5,14
the house of God and,5,14
the kings of Israel and,5,14
the vessels of the house,5,14
