N-gram,Count,Book
Jehovah,26,32
is,25,32
I,23,32
from,19,32
Jonah,18,32
he,17,32
God,16,32
it,15,32
my,14,32
not,14,32
great,13,32
saith,13,32
have,12,32
me,12,32
them,12,32
sea,11,32
his,10,32
Nineveh,9,32
for,9,32
hath,9,32
their,9,32
up,9,32
Thou,8,32
cast,8,32
city,8,32
doth,8,32
him,8,32
evil,7,32
let,7,32
they,7,32
this,7,32
us,7,32
Thee,6,32
do,6,32
thee,6,32
O,5,32
are,5,32
back,5,32
come,5,32
down,5,32
gourd,5,32
hast,5,32
men,5,32
more,5,32
pray,5,32
say,5,32
there,5,32
thou,5,32
word,5,32
