52004013,52,4,13,"But it is our desire, brothers, that you may be certain about those who are sleeping; so that you may have no need for sorrow, as others have who are without hope."
52004014,52,4,14,"For if we have faith that Jesus underwent death and came back again, even so those who are sleeping will come again with him by God's power."
52004015,52,4,15,"For this we say to you by the word of the Lord, that we who are still living at the coming of the Lord, will not go before those who are sleeping."
52004016,52,4,16,"Because the Lord himself will come down from heaven with a word of authority, with the voice of the chief angel, with the sound of a horn: and the dead in Christ will come to life first;"
52004017,52,4,17,Then we who are still living will be taken up together with them into the clouds to see the Lord in the air: and so will we be for ever with the Lord.
52004018,52,4,18,"So then, give comfort to one another with these words."
52005001,52,5,1,"But about the times and their order, my brothers, there is no need for me to say anything to you."
52005002,52,5,2,For you yourselves have the knowledge that the day of the Lord will come like a thief in the night.
52005003,52,5,3,"When they say, There is peace and no danger, then sudden destruction will come on them, as birth-pains on a woman with child; and they will not be able to get away from it."
52005004,52,5,4,"But you, my brothers, are not in the dark, for that day to overtake you like a thief:"
52005005,52,5,5,For you are all sons of light and of the day: we are not of the night or of the dark.
52005006,52,5,6,"So then, let us not take our rest as the others do, but let us be self-controlled and awake."
52005007,52,5,7,For those who are sleeping do so in the night; and those who are the worse for drink are so in the night;
52005008,52,5,8,"But let us, who are of the day, be serious, putting on the breastplate of faith and love, and on our heads, the hope of salvation."
52005009,52,5,9,"For God's purpose for us is not wrath, but salvation through our Lord Jesus Christ,"
52005010,52,5,10,"Who was put to death for us, so that, awake or sleeping, we may have a part in his life."
52005011,52,5,11,"So then, go on comforting and building up one another, as you have been doing."
52005012,52,5,12,"But we make this request to you, my brothers: give attention to those who are working among you, who are over you in the Lord to keep order among you;"
52005013,52,5,13,And have a high opinion of them in love because of their work. Be at peace among yourselves.
52005014,52,5,14,"And our desire is that you will keep control over those whose lives are not well ordered, giving comfort to the feeble-hearted, supporting those with little strength, and putting up with much from all."
52005015,52,5,15,"Let no one give evil for evil; but ever go after what is good, for one another and for all."
52005016,52,5,16,Have joy at all times.
52005017,52,5,17,Keep on with your prayers.
52005018,52,5,18,In everything give praise: for this is the purpose of God in Christ Jesus for you.
52005019,52,5,19,Do not put out the light of the Spirit;
52005020,52,5,20,Do not make little of the words of the prophets;
52005021,52,5,21,Let all things be tested; keep to what is good;
52005022,52,5,22,Keep from every form of evil.
52005023,52,5,23,And may the God of peace himself make you holy in every way; and may your spirit and soul and body be free from all sin at the coming of our Lord Jesus Christ.
52005024,52,5,24,"God, by whom you have been marked out in his purpose, is unchanging and will make it complete."
52005025,52,5,25,"Brothers, keep us in mind in your prayers."
52005026,52,5,26,Give all the brothers a holy kiss.
52005027,52,5,27,I give orders in the name of the Lord that all the brothers are to be present at the reading of this letter.
52005028,52,5,28,The grace of our Lord Jesus Christ be with you.
