N-gram,Count,Book
fled,15,10
heart,15,10
host,15,10
mighty,15,10
or,15,10
speak,15,10
take,15,10
whom,15,10
Let,14,10
Tamar,14,10
Zeruiah,14,10
anointed,14,10
arose,14,10
art,14,10
daughter,14,10
than,14,10
time,14,10
whose,14,10
wife,14,10
Nathan,13,10
Zadok,13,10
counsel,13,10
delivered,13,10
ground,13,10
make,13,10
peace,13,10
spake,13,10
stood,13,10
word,13,10
Asahel,12,10
Hushai,12,10
Ishbosheth,12,10
feet,12,10
gathered,12,10
hear,12,10
hold,12,10
left,12,10
sight,12,10
slain,12,10
tidings,12,10
until,12,10
very,12,10
while,12,10
who,12,10
Amasa,11,10
Benjamin,11,10
among,11,10
back,11,10
commanded,11,10
death,11,10
fathers,11,10
gate,11,10
gone,11,10
heard,11,10
how,11,10
lay,11,10
nor,11,10
passed,11,10
show,11,10
spear,11,10
these,11,10
things,11,10
through,11,10
thyself,11,10
words,11,10
Ahimaaz,10,10
Therefore,10,10
When,10,10
according,10,10
bread,10,10
ever,10,10
field,10,10
given,10,10
kindness,10,10
our,10,10
sister,10,10
strong,10,10
thus,10,10
way,10,10
well,10,10
wept,10,10
why,10,10
wilt,10,10
Abiathar,9,10
Araunah,9,10
How,9,10
Sauls,9,10
blood,9,10
captain,9,10
days,9,10
destroy,9,10
doth,9,10
evil,9,10
handmaid,9,10
hands,9,10
liveth,9,10
night,9,10
other,9,10
return,9,10
right,9,10
see,9,10
tell,9,10
twenty,9,10
voice,9,10
war,9,10
where,9,10
Bichri,8,10
Cushy,8,10
Hadadezer,8,10
Hittite,8,10
Is,8,10
Ittai,8,10
Joabs,8,10
Sheba,8,10
aside,8,10
been,8,10
between,8,10
born,8,10
buried,8,10
can,8,10
cast,8,10
die,8,10
eyes,8,10
fallen,8,10
fought,8,10
household,8,10
kingdom,8,10
lame,8,10
lest,8,10
lifted,8,10
meet,8,10
midst,8,10
offerings,8,10
save,8,10
seven,8,10
spoken,8,10
still,8,10
such,8,10
surely,8,10
themselves,8,10
wall,8,10
your,8,10
Barzillai,7,10
GOD,7,10
Michal,7,10
Shimei,7,10
Thus,7,10
Why,7,10
angel,7,10
arise,7,10
behind,7,10
blessed,7,10
bones,7,10
bowed,7,10
captains,7,10
cities,7,10
concerning,7,10
didst,7,10
drink,7,10
end,7,10
first,7,10
following,7,10
give,7,10
know,7,10
life,7,10
like,7,10
looked,7,10
meat,7,10
messengers,7,10
morning,7,10
much,7,10
number,7,10
reigned,7,10
saith,7,10
side,7,10
spread,7,10
taken,7,10
thirty,7,10
tribes,7,10
valiant,7,10
wherefore,7,10
Art,6,10
Gad,6,10
Geshur,6,10
Gibeon,6,10
Gibeonites,6,10
Gittite,6,10
If,6,10
It,6,10
Lord,6,10
Mahanaim,6,10
Ner,6,10
Thy,6,10
afraid,6,10
bare,6,10
became,6,10
bed,6,10
chief,6,10
concubines,6,10
daughters,6,10
depart,6,10
departed,6,10
dwelt,6,10
elders,6,10
fire,6,10
flee,6,10
followed,6,10
gold,6,10
hanged,6,10
high,6,10
hosts,6,10
husband,6,10
iniquity,6,10
inquired,6,10
knew,6,10
many,6,10
masters,6,10
might,6,10
mouth,6,10
near,6,10
none,6,10
old,6,10
priests,6,10
rest,6,10
rock,6,10
run,6,10
sat,6,10
silver,6,10
six,6,10
smitten,6,10
some,6,10
ten,6,10
trumpet,6,10
turn,6,10
water,6,10
wilderness,6,10
wives,6,10
Absaloms,5,10
Baanah,5,10
Beersheba,5,10
Benaiah,5,10
Bethlehem,5,10
Come,5,10
Jonadab,5,10
Obededom,5,10
Rabbah,5,10
Shall,5,10
These,5,10
They,5,10
Who,5,10
alive,5,10
bear,5,10
being,5,10
both,5,10
brethren,5,10
build,5,10
burnt,5,10
chariots,5,10
clothes,5,10
drew,5,10
fifth,5,10
friend,5,10
gat,5,10
hated,5,10
here,5,10
hill,5,10
hither,5,10
keep,5,10
kindled,5,10
knowest,5,10
light,5,10
little,5,10
lives,5,10
manner,5,10
matter,5,10
messenger,5,10
months,5,10
only,5,10
oxen,5,10
part,5,10
places,5,10
pursue,5,10
pursued,5,10
rent,5,10
running,5,10
sake,5,10
salvation,5,10
shekels,5,10
smite,5,10
soul,5,10
sun,5,10
table,5,10
tent,5,10
third,5,10
thought,5,10
too,5,10
troop,5,10
turned,5,10
watchman,5,10
women,5,10
wood,5,10
