the LORD,127,38
of the,105,38
shall be,74,38
LORD of,55,38
of hosts,53,38
in the,52,38
I will,48,38
and the,43,38
saith the,42,38
And I,24,38
And the,24,38
and they,24,38
house of,24,38
they shall,24,38
the house,22,38
unto me,22,38
that day,21,38
all the,20,38
and I,20,38
it shall,20,38
the angel,19,38
said unto,18,38
shall come,17,38
to pass,17,38
come to,16,38
out of,16,38
the land,16,38
to the,16,38
Thus saith,15,38
the earth,14,38
upon the,14,38
And it,13,38
he shall,13,38
in that,13,38
the word,13,38
them and,13,38
word of,13,38
And he,12,38
Jerusalem and,12,38
and he,12,38
cut off,12,38
of Judah,12,38
unto the,12,38
and his,11,38
and said,11,38
and their,11,38
angel that,11,38
as the,11,38
of his,11,38
that the,11,38
with me,11,38
and to,10,38
of Jerusalem,10,38
talked with,10,38
that talked,10,38
the midst,10,38
I have,9,38
and shall,9,38
be cut,9,38
before the,9,38
every one,9,38
midst of,9,38
the people,9,38
through the,9,38
toward the,9,38
I am,8,38
Judah and,8,38
LORD and,8,38
and behold,8,38
answered and,8,38
from the,8,38
hosts and,8,38
inhabitants of,8,38
lifted up,8,38
me saying,8,38
mine eyes,8,38
of all,8,38
of him,8,38
pass that,8,38
that I,8,38
that is,8,38
I said,7,38
In that,7,38
Then said,7,38
and in,7,38
be the,7,38
dwell in,7,38
for I,7,38
go forth,7,38
he said,7,38
into the,7,38
it and,7,38
son of,7,38
the flock,7,38
the inhabitants,7,38
the son,7,38
unto him,7,38
upon his,7,38
will bring,7,38
Jerusalem shall,6,38
LORD shall,6,38
These are,6,38
among the,6,38
and fro,6,38
and will,6,38
angel of,6,38
are the,6,38
be a,6,38
be as,6,38
day that,6,38
for the,6,38
fro through,6,38
hath sent,6,38
his neighbour,6,38
hosts hath,6,38
land of,6,38
pass in,6,38
people and,6,38
said I,6,38
shall yet,6,38
the prophets,6,38
there shall,6,38
to and,6,38
ye shall,6,38
